"Activity Name","Service Provider Name","Service Provider Email Address","Contact Number","Contact Email",Category(s),"Age Group(s)","Reporting Region","Number of active referrals","Number of times details viewed",ICP,PCN,"Activity Post Code","Service Provider Post Code",Active,Link
"Young People’s Services - One to One Support","Bromley and Croydon Women's Aid",info@bcwa.org.uk,02083139303,management@bcwa.org.uk,"Violence & Abuse","16-21, Under 16",,1,234,,,SE20,"CR0 2JB",1,https://croydon.simplyconnect.uk/activities/106e8620-4430-11ea-bc87-b5336be37523/young-peoples-services-one-to-one-support
"Young People's Virtual Education Service","Write Time, The",chrismurray@thewritetime.org.uk,,sukbahar@thewritetime.org.uk,"Education ",,,0,85,,,"CR0 2XX","CR0 2XX",1,https://croydon.simplyconnect.uk/activities/9040e920-c4f4-11ea-b313-0182e15cadbc/young-peoples-virtual-education-service
"Young People's Virtual Counselling","Croydon Drop In",enquiries@croydondropin.org.uk,"020 8680 0404",enquiries@croydondropin.org.uk,Counselling,,,0,421,,,"CR0 1RF","CR0 1RF",1,https://croydon.simplyconnect.uk/activities/6a632620-6d09-11ea-aa41-8b400db18f6e/young-peoples-virtual-counselling
"Young people service - Talk to Chris","Off The Record - Youth Counselling Croydon",croydon@talkofftherecord.org,"020 8251 0251",croydon@talkofftherecord.org,Counselling,"16-21, Under 16",,0,40,,,"CR0 2PR","CR0 2PR",1,https://croydon.simplyconnect.uk/activities/47d46c90-2d94-11eb-85e9-d7ee26c0afa0/young-people-service-talk-to-chris
"Young Driver Information Day","QEF Mobility Services",transporthubproject@qef.org.uk,"020 8770 1151",mobility@qef.org.uk,"Transport & Mobility","Under 16",,0,270,,,"SM5 4AW","SM5 4AW",1,https://croydon.simplyconnect.uk/activities/0fc6aef0-4430-11ea-a0e6-b9ef58d1a015/young-driver-information-day
"Young DeafHope",DeafHope,deafhope.admin@signhealth.org.uk,02087723241,deafhope.admin@signhealth.org.uk,"Violence & Abuse","16-21, Under 16",,0,113,,,"SW12 9SJ","SW12 9SJ",1,https://croydon.simplyconnect.uk/activities/0f1563a0-4430-11ea-a4e5-339cde272ed6/young-deafhope
"Young at Heart: Online Social for Over 55's","Croydon BME Forum",info@bmeforum.org,"07541 365250",epiphany@bmeforum.org,"Social Groups",50+,,0,,,,"CR0 3RG","CR0 3RG",1,https://croydon.simplyconnect.uk/activities/225f5580-5103-11ec-ac1a-4bd8e266979f/young-at-heart-online-social-for-over-55s
"Young at Heart Session: Improve Your Wellbeing with “Man’s Best Friend”","Croydon BME Forum",info@bmeforum.org,"020 8684 2719",info@bmeforum.org,Wellbeing,50+,,0,35,,,"CR0 3RG","CR0 3RG",1,https://croydon.simplyconnect.uk/activities/1f73f6b0-649a-11eb-aaa1-d3ea9ba94b22/young-at-heart-session-improve-your-wellbeing-with-mans-best-friend
"Young at heart 65+ COVID-19 Update","Croydon BME Forum",info@bmeforum.org,"020 8684 2719",info@bmeforum.org,"Other - Advice, Support & Self Help",,,0,34,,,"CR0 3RG","CR0 3RG",1,https://croydon.simplyconnect.uk/activities/9724e2a0-6ad5-11eb-9dff-5f191602fdb1/young-at-heart-65-covid-19-update
"Young and Inspired skills-training programme","Ground Work London",london@groundwork.org.uk,07387105573,lorder.sade@groundwork.org.uk,"Employment, Skills & Enterprise ",,,0,89,,,"SE1 7QZ","SE1 7QZ",1,https://croydon.simplyconnect.uk/activities/e3302cd0-ebef-11ec-b7f7-0d914044f1ef/young-and-inspired-skills-training-programme
"Yoga Class","British Bangladeshi Society Croydon (BBSC)",bbsc786@gmail.com,"07961 427 044/020 8684 0272",bwac786@gmail.com,"Exercise & Outdoor Activities","16-21, 21-65, 50+",,0,290,,,"CR7 7ER","CR0 2NP.",1,https://croydon.simplyconnect.uk/activities/dd4f9490-0302-11eb-81f4-51c76fe95a97/yoga-class
"Yoga and the Mind (Mat and Chair)","Croydon Voluntary Action",cva@cvalive.org.uk,,gkhetia69@gmail.com,,,,0,202,,,"CR0 1TY","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/4a82ad00-116f-11ec-94d9-9f8457aac170/yoga-and-the-mind-mat-and-chair
"Yoga and the Mind","Croydon Voluntary Action - Active Communities Hub",cva@cvalive.org.uk,"0208 2537070",cva@cvalive.org.uk,"Exercise & Outdoor Activities",,,0,10,,,"CR0 1TY","CR0 1TY",1,https://croydon.simplyconnect.uk/activities/f2dd8770-7485-11ed-af91-81f939a8e7a3/yoga-and-the-mind
"Yoga (Zoom)","Mind in Croydon (Active Minds)",activeminds@mindincroydon.org.uk,"0208 2538205",activeminds@mindincroydon.org.uk,"Exercise & Outdoor Activities",,,0,50,,,"CR2 6EZ","CR2 6EZ",1,https://croydon.simplyconnect.uk/activities/fcfceab0-456c-11ed-b132-69c6d1fbda1b/yoga-zoom
Yoga,"Croydon Vision",info@croydonvision.org.uk,"020 8688 2486",info@croydonvision.org.uk,Wellbeing,"16-21, 21-65",,0,347,,,"CR0 2AR","CR0 2AR",1,https://croydon.simplyconnect.uk/activities/09e5c220-4430-11ea-8851-455906405db2/yoga
Yoga,"Mind in Croydon (Active Minds)",activeminds@mindincroydon.org.uk,"020 8253 8205",activeminds@mindincroydon.org.uk,"Exercise & Outdoor Activities",,,0,341,,,"CR2 6EZ","CR2 6EZ",1,https://croydon.simplyconnect.uk/activities/605230c0-63ba-11ea-bbba-0d564d7b567b/yoga
"Writing for Wellbeing","Carers Information Service",info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,"Carers ",,,0,163,,,"CR0 1PB","CR0 1PB",1,https://croydon.simplyconnect.uk/activities/92f38a70-3fef-11ec-989b-4b0d2fa256a1/writing-for-wellbeing
"Workshops and Groups","South London and Maudsley NHS Trust",croydoniapt@slam.nhs.uk,02032284040,croydoniapt@slam.nhs.uk,Counselling,"16-21, 21-65, 50+",,0,241,,,"BR3 3BX","BR3 3BA",1,https://croydon.simplyconnect.uk/activities/05f96040-4430-11ea-af7e-57c94d29046e/workshops-and-groups
"Working with Visually Impaired People (One Croydon's Training Programme)","Croydon Voluntary Action",cva@cvalive.org.uk,"020 8253 7060",cva@cvalive.org.uk,"Employment, Skills & Enterprise ",,,0,18,,,,"CR0 2TB",1,https://croydon.simplyconnect.uk/activities/c78c15d0-9b75-11eb-b696-e74739e25fa6/working-with-visually-impaired-people-one-croydons-training-programme
"Working Age Programme","Croydon Vision",info@croydonvision.org.uk,"020 8688 2486",info@croydonvision.org.uk,"Employment, Skills & Enterprise ",21-65,,0,371,,,"CR0 2AR","CR0 2AR",1,https://croydon.simplyconnect.uk/activities/05656090-4430-11ea-a562-7955cee0fecf/working-age-programme
"Work Routes: Families","Reed in Partnership",Ursula.johnston@reed.com,"0208 256 1345",Levent.bellikli@reed.co.uk,"Employment, Skills & Enterprise ",21-65,,0,381,,,"CR0 1PE","CR1 1PE",1,https://croydon.simplyconnect.uk/activities/04c599c0-4430-11ea-969f-5f89e3d6df92/work-routes-families
"Work Ready Week","Education Development Trust - Making a Difference",mades@educationdevelopmenttrust.com,"07586 070 330",jalo@educationdevelopmenttrust.com,"Employment, Skills & Enterprise ",,,0,38,,,,"RG1 4RU",1,https://croydon.simplyconnect.uk/activities/70eb6c30-8709-11eb-89c8-d98b1617d4b4/work-ready-week
"Work Group","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1038",Philip.moreira-yeoell@croydon.gov.uk,"Employment, Skills & Enterprise ","16-21, 21-65",,0,157,,,"CR9 1ET","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/040ddc30-4430-11ea-85c5-9be1acfec1e2/work-group
"Work Club","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1023",thorntonheathlibrary@croydon.gov.uk,"Employment, Skills & Enterprise ","16-21, 21-65",,0,172,,,"CR7 7JB","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/02efb590-4430-11ea-8e77-3bd39275b256/work-club
"Work and Health Programme – Better Working Futures","Reed in Partnership",Ursula.johnston@reed.com,02082561345,Cassandra.kelly@reed.co.uk,"Employment, Skills & Enterprise ","16-21, 21-65",,0,617,,,"CR0 1PE","CR1 1PE",1,https://croydon.simplyconnect.uk/activities/024a0e00-4430-11ea-88ba-9109c0f45733/work-and-health-programme-better-working-futures
"Woodside Bereavement Service","Woodside Bereavement Service",wbs@thelisteningear.org.uk,"020 3256 2009",wbs@thelisteningear.org.uk,Counselling,"16-21, 21-65, 50+, Under 16",,0,759,,,"SE25 4DX","SE25 4DX",1,https://croydon.simplyconnect.uk/activities/576f3c10-442f-11ea-be77-9196d3bf1907/woodside-bereavement-service
"Woodside Baptist Church","Croydon Central East Local Community Partnership",,,,"Faith Groups",,,0,55,,,"SE25 4JP","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/2f843590-5456-11ed-b122-2371a7c79b3e/woodside-baptist-church
"Woodland conservation","Friends of Selsdon Wood",selsdonwood@gmail.com,0208-657-0423,selsdonwood@gmail.com,"Gardening & Environment","16-21, 21-65, 50+",,0,69,,,"CR2 8QF","CR0 9HG",1,https://croydon.simplyconnect.uk/activities/b269bd10-3424-11ed-910b-530091b0c0c7/woodland-conservation
"Woodcraft Folk","Croydon Voluntary Action - Waterside Centre",bookings@cvalive.org.uk,,,"Other - Social Groups & Activities",,,0,28,,,"SE25 4DX","SE25 4DX",1,https://croydon.simplyconnect.uk/activities/2ef50350-6b37-11ed-a80e-f9f1de619e24/woodcraft-folk
Wonderkidz,"St Matthew's Church Croydon",churchadmin@stmatthew.org.uk,07737988086,wonderkidzuk@gmail.com,"Education ",,,0,114,,,"CR0 5NQ","CR0 5NQ",1,https://croydon.simplyconnect.uk/activities/2085b1a0-a6a6-11ec-bed9-bbabec2550a7/wonderkidz
"Women's Wellbeing and Support Group",Acorns2Oaks,head-office@acorns2oaks.net,07790218412,Lubna2011@hotmail.co.uk,"Social Groups",,,0,289,,,"CR0 2TB","CR0 4YD",1,https://croydon.simplyconnect.uk/activities/0108d6d0-4430-11ea-8fa8-cfc44b450352/womens-wellbeing-and-support-group
"Women's Walking Football","Palace for Life Foundation",admin@palaceforlife.org,"07808 323 047",enricomontalvo@palaceforlife.org,"Exercise & Outdoor Activities, Exercise & Outdoor Activities","21-65, 50+",,1,44,,,"CR2 8HD","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/69ff60f0-63ad-11ea-89d2-61d45e5ea01d/womens-walking-football
"Women's Walking Football","Palace for Life Foundation",admin@palaceforlife.org,+447808323047,enricomontalvo@palaceforlife.org,"Exercise & Outdoor Activities",,,0,51,,,"CR2 8HD","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/dae5ced0-63b9-11ea-91ca-27e302d622b7/womens-walking-football
"Women's Recreational Football","Palace for Life Foundation",admin@palaceforlife.org,+447808323047,enricomontalvo@palaceforlife.org,"Exercise & Outdoor Activities","16-21, 21-65",,0,297,,,"SE25 5PH","SE25 6PU",1,https://croydon.simplyconnect.uk/activities/79ee1180-b4da-11eb-aa19-196c4d03bad7/womens-recreational-football
"Women's Project","Write Time, The",chrismurray@thewritetime.org.uk,02086897676,sukbahra@the-write-time.org,"Education ","16-21, 21-65, 50+",,0,97,,,"CR0 2XX","CR0 2XX",1,https://croydon.simplyconnect.uk/activities/00443190-4430-11ea-95f2-932e42f017f4/womens-project
"Women's Group","Croydon Association For Pastoral Care In Mental Health (APCMH)",admin@croydon-apcmh.co.uk,"0208 654 4010",admin@croydon-apcmh.co.uk,"Social Groups","16-21, 21-65, 50+",,0,766,,,"CR0 7EB","CR0 7EB",1,https://croydon.simplyconnect.uk/activities/ff801c10-442f-11ea-b5b5-3dc36a8557e4/womens-group
"Women's Group","Torchlight Ministries",info@torchministries.com,02038378777,info@torchlightministries.com,Wellbeing,21-65,,0,101,,,"CR0 1TX","CR0 1RE",1,https://croydon.simplyconnect.uk/activities/70c73be0-e09d-11eb-949e-872b16d56366/womens-group
"Women's Group","My Ends Partnership",Shalina.Alabaksh@cvalive.org.uk,02038378777,info@torchlightministries.com,Wellbeing,21-65,,0,171,,,"CR0 1TX","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/25648860-8a54-11ec-a5d6-e5bbf8a1f5aa/womens-group
woman2woman,"Women's Ministry - Ministry of Empowerment",volunteering@moe-online.org.uk,"07432 155 916",woman2woman@moe-online.org.uk,"Social Groups","16-21, 21-65, 50+",,0,474,,,"CR0 2TB","CR0 2XX",1,https://croydon.simplyconnect.uk/activities/febc82d0-442f-11ea-ae64-15e085eef268/woman2woman
"Woman’s Institute","Croydon South West Local Community Partnership",,,,"Other - Social Groups & Activities",,,0,139,,,"SW6 4LY","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/62925330-b4ef-11ec-95bf-2d3de55afbb0/womans-institute
"Winter Grotto","Start It Right CIC",support@startitright.org,"07947 762694",support@startitright.org,"Family Activities ",,,0,109,,,"CR0 4BH","BR3 3PP",1,https://croydon.simplyconnect.uk/activities/c7e79800-5f51-11ed-8c5c-295fe27f9cc0/winter-grotto
"Wing Chun Classes","New Addington Wing Chun",newaddingtonwingchun@gmail.com,,newaddingtonwingchun@gmail.com,"Sports Clubs","16-21, 21-65",,0,659,,,"CR0 0DL","CR0 0DL",1,https://croydon.simplyconnect.uk/activities/16bef390-57e7-11ea-b38e-cb56917674da/wing-chun-classes
"Willow Learning for Life","Croydon Mencap",info@croydonmencap.org.uk,02086845890,info@croydonmencap.org.uk,"Social Groups","21-65, 50+",,0,226,,,"CR7 7HU","CR7 7HU",1,https://croydon.simplyconnect.uk/activities/fde27460-442f-11ea-91cb-59b84b1485ca/willow-learning-for-life
"Wildheart Yoga Online.","Go Wild With Us UK",gowildcroydon@gmail.com,07729769663,gowildcroydon@gmail.com,"Exercise & Outdoor Activities",,,1,364,,,"CR0 2TB","CR2 6JJ",1,https://croydon.simplyconnect.uk/activities/4cb41680-728a-11ea-9bd5-d56cc4ad3f09/wildheart-yoga-online
"Wild Wood Experience","Go Wild With Us UK",gowildcroydon@gmail.com,,gowildcroydonoffice@gmail.com,"Gardening & Environment","Under 16",,0,61,,,"CR0 9AA","CR2 6JJ",1,https://croydon.simplyconnect.uk/activities/745d0260-e2ff-11eb-9e7e-3765b9730643/wild-wood-experience
"WILD WEDNESDAY Wildlife Quiz","London Wildlife Trust",enquiries@wildlondon.org.uk,,brilliantbutterflies@wildlondon.org.uk,"Gardening & Environment",,,0,38,,,,"SW1P 2AF",1,https://croydon.simplyconnect.uk/activities/e8cacac0-8667-11eb-8bdc-8f22c55cacad/wild-wednesday-wildlife-quiz
"WILD WEDNESDAY Nature Detective","London Wildlife Trust",enquiries@wildlondon.org.uk,,brilliantbutterflies@wildlondon.org.uk,"Gardening & Environment",,,0,29,,,,"SW1P 2AF",1,https://croydon.simplyconnect.uk/activities/6ba3af50-8668-11eb-88da-2dedf589a9d4/wild-wednesday-nature-detective
"WILD WEDNESDAY Chalk Grassland Wildflower ID","London Wildlife Trust",enquiries@wildlondon.org.uk,,brilliantbutterflies@wildlondon.org.uk,"Gardening & Environment",,,0,67,,,,"SW1P 2AF",1,https://croydon.simplyconnect.uk/activities/5bf0cd80-8669-11eb-9750-4f07055863d1/wild-wednesday-chalk-grassland-wildflower-id
"WILD WEDNESDAY Butterfly ID","London Wildlife Trust",enquiries@wildlondon.org.uk,,brilliantbutterflies@wildlondon.org.uk,"Gardening & Environment",,,0,47,,,,"SW1P 2AF",1,https://croydon.simplyconnect.uk/activities/dbc7cae0-8668-11eb-8478-3b98dc36f7bb/wild-wednesday-butterfly-id
"Wiggle’n'Jiggle at Ashburton Library Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1001",Cathryn.hartt@croydon.gov.uk,"Family Activities ",0-5,,0,164,,,"CR9 7AL","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/fd25d9a0-442f-11ea-979e-a7df72324d0e/wigglenjiggle-at-ashburton-library-library
"Wiggle and Jiggle-South Norwood Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1021",southnorwoodlibrary@croydon.gov.uk,"Family Activities ",0-5,,1,188,,,"SE25 5AA","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/fc937760-442f-11ea-86f3-87b09bf1d96c/wiggle-and-jiggle-south-norwood-library
"Wiggle and Jiggle-Sanderstead Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1015",Bruno.ouvrard@croydon.gov.uk,"Family Activities ",0-5,,0,130,,,"CR2 0HL","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/fc019490-442f-11ea-a5c4-83f52a5028b6/wiggle-and-jiggle-sanderstead-library
"Wiggle and Jiggle-Norbury Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1011",norburylibrary@croydon.gov.uk,"Family Activities ",0-5,,0,180,,,"SW16 4UW","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/fb787b80-442f-11ea-829c-2142e52a2d0b/wiggle-and-jiggle-norbury-library
"Wiggle & Jiggle-Purley Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"020 7884 5160",purleylibrary@croydon.gov.uk,"Family Activities ",0-5,,0,161,,,"CR8 3YH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/faec52c0-442f-11ea-8513-0bf568faf096/wiggle-jiggle-purley-library
"Wiggle & Jiggle-Coulsdon Library","Croydon Libraries",croydoncentrallibrary@croydon.gov.uk,"0203 700 1007",coulsdonlibrary@croydon.gov.uk,"Family Activities ",0-5,,0,198,,,"CR5 2NH","CR9 1ET",1,https://croydon.simplyconnect.uk/activities/fa646120-442f-11ea-b259-51dc601e3a12/wiggle-jiggle-coulsdon-library
"Whitgift Care","Croydon Central East Local Community Partnership",,,,"Palliative Care",50+,,0,106,,,"CR0 5JF","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/028b7f10-0296-11ed-979a-170ec5689109/whitgift-care
"Whitgift Care","Croydon Central West Local Community Partnership",,,,"Palliative Care",,,0,80,,,"CR2 6AB","CR0 2TB",1,https://croydon.simplyconnect.uk/activities/a746f890-0827-11ed-bde9-c3374bece197/whitgift-care
"Wheelchairs and Scooters","QEF Mobility Services",transporthubproject@qef.org.uk,"020 8770 1151",mobility@qef.org.uk,"Transport & Mobility","16-21, 21-65, 50+",,0,253,,,"SM5 4AW","SM5 4AW",1,https://croydon.simplyconnect.uk/activities/f9b77000-442f-11ea-bd52-9984fee5fa9f/wheelchairs-and-scooters
"Wheel for Wellbeing","Croydon Mencap",info@croydonmencap.org.uk,"0208 8684 5890 / 07510593236",yvonne@croydonmencap.org.uk,"Social Groups",,,0,181,,,"SE25 4QL","CR7 7HU",1,https://croydon.simplyconnect.uk/activities/f8c30690-442f-11ea-8627-9d4b43a76b25/wheel-for-wellbeing
"What's Normal? Free Creative Sessions","St Christopher's Hospice",volunteering@stchristophers.org.uk,07894806983,,"Arts & Crafts",,,0,7,,,"CR0 1TF","SE26 6DZ",1,https://croydon.simplyconnect.uk/activities/cb599850-eded-11eb-ad93-adc5075ae0d8/whats-normal-free-creative-sessions
