Activity Name,Service Provider Name,Service Provider Email Address,Contact Number,Contact Email,Category(s),Age Group(s),Reporting Region,Number of active referrals,Number of times details viewed,ICP,PCN,Activity Post Code,Service Provider Post Code,Active,Start Date,End Date,Link
Writing for Wellbeing,Carers Information Service,info@carersinfo.org.uk,"020 8649 9339, opt 1",info@carersinfo.org.uk,Carers ,,,0,204,,,CR0 1PB,CR0 1PB,1,11/09/2021 00:00,,https://croydon.simplyconnect.uk/activities/92f38a70-3fef-11ec-989b-4b0d2fa256a1/writing-for-wellbeing
Workshops and Groups,South London and Maudsley NHS Trust,croydoniapt@slam.nhs.uk,2032284040,croydoniapt@slam.nhs.uk,Counselling,"16-21, 21-65, 50+",,0,266,,,BR3 3BX,BR3 3BA,1,,,https://croydon.simplyconnect.uk/activities/05f96040-4430-11ea-af7e-57c94d29046e/workshops-and-groups
Work Routes: Families,Reed in Partnership,Ursula.johnston@reed.com,0208 256 1345,Levent.bellikli@reed.co.uk,"Employment, Skills & Enterprise ",21-65,,0,415,,,CR0 1PE,CR1 1PE,1,,,https://croydon.simplyconnect.uk/activities/04c599c0-4430-11ea-969f-5f89e3d6df92/work-routes-families
Work Group,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1038,Philip.moreira-yeoell@croydon.gov.uk,"Employment, Skills & Enterprise ","16-21, 21-65",,0,200,,,CR9 1ET,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/040ddc30-4430-11ea-85c5-9be1acfec1e2/work-group
Woodside Bereavement Service,Woodside Bereavement Service,wbs@thelisteningear.org.uk,020 3256 2009,wbs@thelisteningear.org.uk,Counselling,"16-21, 21-65, 50+, Under 16",,0,845,,,SE25 4DX,SE25 4DX,1,,,https://croydon.simplyconnect.uk/activities/576f3c10-442f-11ea-be77-9196d3bf1907/woodside-bereavement-service
Woodside Baptist Church,Croydon Central East Local Community Partnership,,,,Faith Groups,,,0,134,,,SE25 4JP,CR0 2TB,1,10/25/2022 0:00,,https://croydon.simplyconnect.uk/activities/2f843590-5456-11ed-b122-2371a7c79b3e/woodside-baptist-church
Woodcraft Folk,Croydon Voluntary Action - Waterside Centre,bookings@cvalive.org.uk,,,Other - Social Groups & Activities,,,0,58,,,SE25 4DX,SE25 4DX,1,11/23/2022 0:00,,https://croydon.simplyconnect.uk/activities/2ef50350-6b37-11ed-a80e-f9f1de619e24/woodcraft-folk
Wonderkidz,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,7737988086,wonderkidzuk@gmail.com,Education ,,,0,152,,,CR0 5NQ,CR0 5NQ,1,04/01/2021 00:00,,https://croydon.simplyconnect.uk/activities/2085b1a0-a6a6-11ec-bed9-bbabec2550a7/wonderkidz
Women's Wellbeing and Support Group,Acorns2Oaks,head-office@acorns2oaks.net,7790218412,Lubna2011@hotmail.co.uk,Social Groups,,,0,333,,,CR0 2TB,CR0 4YD,1,1/21/2020 0:00,,https://croydon.simplyconnect.uk/activities/0108d6d0-4430-11ea-8fa8-cfc44b450352/womens-wellbeing-and-support-group
Women's Walking Football,Palace for Life Foundation,admin@palaceforlife.org,4.48E+11,enricomontalvo@palaceforlife.org,Exercise & Outdoor Activities,,,0,92,,,CR2 8HD,SE25 6PU,1,04/01/2020 00:00,,https://croydon.simplyconnect.uk/activities/dae5ced0-63b9-11ea-91ca-27e302d622b7/womens-walking-football
Women's Recreational Football,Palace for Life Foundation,admin@palaceforlife.org,4.48E+11,enricomontalvo@palaceforlife.org,Exercise & Outdoor Activities,"16-21, 21-65",,0,422,,,SE25 5PH,SE25 6PU,1,04/11/2021 00:00,,https://croydon.simplyconnect.uk/activities/79ee1180-b4da-11eb-aa19-196c4d03bad7/womens-recreational-football
Women's Project,"Write Time, The",chrismurray@thewritetime.org.uk,2086897676,sukbahra@the-write-time.org,Education ,"16-21, 21-65, 50+",,0,104,,,CR0 2XX,CR0 2XX,1,,,https://croydon.simplyconnect.uk/activities/00443190-4430-11ea-95f2-932e42f017f4/womens-project
Women's Group,Croydon Association For Pastoral Care In Mental Health (APCMH),admin@croydon-apcmh.co.uk,0208 654 4010,admin@croydon-apcmh.co.uk,Social Groups,"16-21, 21-65, 50+",,0,885,,,CR0 7EB,CR0 7EB,1,,,https://croydon.simplyconnect.uk/activities/ff801c10-442f-11ea-b5b5-3dc36a8557e4/womens-group
woman2woman,Women's Ministry - Ministry of Empowerment,volunteering@moe-online.org.uk,07432 155 916,woman2woman@moe-online.org.uk,Social Groups,"16-21, 21-65, 50+",,0,513,,,CR0 2TB,CR0 2XX,1,,,https://croydon.simplyconnect.uk/activities/febc82d0-442f-11ea-ae64-15e085eef268/woman2woman
Woman’s Institute,Croydon South West Local Community Partnership,,,,Other - Social Groups & Activities,,,0,187,,,SW6 4LY,CR0 2TB,1,04/05/2022 00:00,,https://croydon.simplyconnect.uk/activities/62925330-b4ef-11ec-95bf-2d3de55afbb0/womans-institute
Wing Chun Classes,New Addington Wing Chun,newaddingtonwingchun@gmail.com,,newaddingtonwingchun@gmail.com,Sports Clubs,"16-21, 21-65",,0,722,,,CR0 0DL,CR0 0DL,1,2/19/2020 0:00,,https://croydon.simplyconnect.uk/activities/16bef390-57e7-11ea-b38e-cb56917674da/wing-chun-classes
Willow Learning for Life,Croydon Mencap,info@croydonmencap.org.uk,2086845890,info@croydonmencap.org.uk,Social Groups,"21-65, 50+",,0,285,,,CR7 7HU,CR7 7HU,1,,,https://croydon.simplyconnect.uk/activities/fde27460-442f-11ea-91cb-59b84b1485ca/willow-learning-for-life
Wildheart Yoga Online.,Go Wild With Us UK,gowildcroydon@gmail.com,7729769663,gowildcroydon@gmail.com,Exercise & Outdoor Activities,,,1,413,,,CR0 2TB,CR2 6JJ,1,3/30/2020 0:00,,https://croydon.simplyconnect.uk/activities/4cb41680-728a-11ea-9bd5-d56cc4ad3f09/wildheart-yoga-online
Wiggle’n'Jiggle at Ashburton Library Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1001,Cathryn.hartt@croydon.gov.uk,Family Activities ,0-5,,0,198,,,CR9 7AL,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/fd25d9a0-442f-11ea-979e-a7df72324d0e/wigglenjiggle-at-ashburton-library-library
Wiggle and Jiggle-South Norwood Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1021,southnorwoodlibrary@croydon.gov.uk,Family Activities ,0-5,,1,221,,,SE25 5AA,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/fc937760-442f-11ea-86f3-87b09bf1d96c/wiggle-and-jiggle-south-norwood-library
Wiggle and Jiggle-Sanderstead Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1015,Bruno.ouvrard@croydon.gov.uk,Family Activities ,0-5,,0,160,,,CR2 0HL,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/fc019490-442f-11ea-a5c4-83f52a5028b6/wiggle-and-jiggle-sanderstead-library
Wiggle and Jiggle-Norbury Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1011,norburylibrary@croydon.gov.uk,Family Activities ,0-5,,0,274,,,SW16 4UW,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/fb787b80-442f-11ea-829c-2142e52a2d0b/wiggle-and-jiggle-norbury-library
Wiggle & Jiggle-Purley Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,020 7884 5160,purleylibrary@croydon.gov.uk,Family Activities ,0-5,,0,194,,,CR8 3YH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/faec52c0-442f-11ea-8513-0bf568faf096/wiggle-jiggle-purley-library
Wiggle & Jiggle-Coulsdon Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,0203 700 1007,coulsdonlibrary@croydon.gov.uk,Family Activities ,0-5,,0,284,,,CR5 2NH,CR9 1ET,1,,,https://croydon.simplyconnect.uk/activities/fa646120-442f-11ea-b259-51dc601e3a12/wiggle-jiggle-coulsdon-library
Whitgift Care,Croydon Central East Local Community Partnership,,,,Palliative Care,50+,,0,176,,,CR0 5JF,CR0 2TB,1,7/13/2022 0:00,,https://croydon.simplyconnect.uk/activities/028b7f10-0296-11ed-979a-170ec5689109/whitgift-care
Whitgift Care,Croydon Central West Local Community Partnership,,,,Palliative Care,,,0,117,,,CR2 6AB,CR0 2TB,1,7/20/2022 0:00,,https://croydon.simplyconnect.uk/activities/a746f890-0827-11ed-bde9-c3374bece197/whitgift-care
Wheelchairs and Scooters,QEF Mobility Services,transporthubproject@qef.org.uk,020 8770 1151,mobility@qef.org.uk,Transport & Mobility,"16-21, 21-65, 50+",,0,277,,,SM5 4AW,SM5 4AW,1,,,https://croydon.simplyconnect.uk/activities/f9b77000-442f-11ea-bd52-9984fee5fa9f/wheelchairs-and-scooters
Wheel for Wellbeing,Croydon Mencap,info@croydonmencap.org.uk,0208 8684 5890 / 07510593236,yvonne@croydonmencap.org.uk,Social Groups,,,0,203,,,SE25 4QL,CR7 7HU,1,,,https://croydon.simplyconnect.uk/activities/f8c30690-442f-11ea-8627-9d4b43a76b25/wheel-for-wellbeing
Wellbeing: Renew 23 Wellbeing Cafe (WB),Purley Baptist Church,office@purleybaptist.org,020 8668 0422,office@purleybaptist.org,Wellbeing,"16-21, 21-65, 50+",,0,223,,,CR8 3AA,CR8 3EA,1,04/07/2022 00:00,,https://croydon.simplyconnect.uk/activities/e751a520-b66a-11ec-9798-6ff9b907684e/wellbeing-renew-23-wellbeing-cafe-wb
Wellbeing: Monday Youth Club for Asylum Seekers aged 18 - 25 - Thornton Heath,Young Roots,london@youngroots.org.uk,,,Wellbeing,,,0,68,,,CR7 8LQ,CR0 5PE,1,3/14/2023 0:00,,https://croydon.simplyconnect.uk/activities/fe92e2a0-c262-11ed-9acf-73ebf801199b/wellbeing-monday-youth-club-for-asylum-seekers-aged-18-25-thornton-heath
Wellbeing: Life Skills,Christians Against Poverty,contact@capuk.org,01274 761999,contact@capuk.org,Wellbeing,,,0,107,,,BD1 5LQ,BD1 5LQ,1,3/15/2023 0:00,,https://croydon.simplyconnect.uk/activities/01e812c0-c33b-11ed-8118-256fedaa1a29/wellbeing-life-skills
Wellbeing:  Improve your wellbeing  -  New Addington & Fieldway,Family Centre Fieldway,familycentre.fieldway@virgin.net,01689 844277,familycentre.fieldway@virgin.net,Wellbeing,,,0,43,,,CR0 9AZ,CR0 9AZ,1,1/22/2023 0:00,,https://croydon.simplyconnect.uk/activities/5fc697e0-9d91-11ed-a5ef-4520d221eccf/wellbeing-improve-your-wellbeing-new-addington-fieldway
Wellbeing You Ltd,Croydon Central East Local Community Partnership,,,,Carers ,50+,,0,116,,,CR0 4WF,CR0 2TB,1,7/13/2022 0:00,,https://croydon.simplyconnect.uk/activities/18becfe0-029c-11ed-ae05-7555d5c56797/wellbeing-you-ltd
Welfare Telephone Support Service for BAME prisoner families (HMP Wandsworth),Corona Kids CIC,info@coronakids.co.uk,07510 446784 or 07724 772615,info@coronakids.co.uk,Families,,,0,349,,,SE17 2DJ,SE17 2DJ,1,11/13/2020 0:00,,https://croydon.simplyconnect.uk/activities/e8bd8e40-25a2-11eb-b591-e397f9c8260a/welfare-telephone-support-service-for-bame-prisoner-families-hmp-wandsworth
Welfare Benefits Support,Mind in Croydon,admin@mindincroydon.org.uk,0203 154 9539,info@croydonhws.co.uk,"Other - Advice, Support & Self Help",,,0,25,,,CR0 1TY,CR8 2NE,1,1/25/2023 0:00,,https://croydon.simplyconnect.uk/activities/88a63f80-9ca5-11ed-9ebe-edb30bc7be2a/welfare-benefits-support
Welfare Benefits Advice,South West London Law Centres,enquiries@swllc.org,2087672777,nicoletta.crivellaro@swllc.org,Financial (debt advice or grants),"16-21, 21-65, 50+",,0,405,,,CR0 1QQ,CR0 1QQ,1,,,https://croydon.simplyconnect.uk/activities/f613b590-442f-11ea-9880-a3a6e2b1a0f8/welfare-benefits-advice
Welfare and Rights Support for adults with a learning disability and their carers,Croydon Mencap,info@croydonmencap.org.uk,07718 494 473,lloyd@croydonmencap.org.uk,"Advocacy, Advocacy, Advocacy","16-21, 21-65, 50+",,0,501,,,CR7 7HU,CR7 7HU,1,,,https://croydon.simplyconnect.uk/activities/f5687ce0-442f-11ea-ac1c-f53056b0b60b/welfare-and-rights-support-for-adults-with-a-learning-disability-and-their-carers
Weekly Food Events,Good Food Matters,enquiries@goodfoodmatters.org.uk,01689 487605,hello@goodfoodmatters.org.uk,Health Improvement & Management,,,0,465,,,CR0 0PN,CR0 0PN,1,10/08/2020 00:00,,https://croydon.simplyconnect.uk/activities/c7301380-08a8-11eb-9368-f3782318d6aa/weekly-food-events
WEEKEND INTERVENTIONAL MEETINGS,ALL SOULS GATHERING,Info@allsoulsgathering.com,7578548748,s.tetteh@allsoulsgathering.com,Faith Groups,"16-21, Under 16",,0,53,,,CR0 2TB,CR0 2TB,1,11/15/2022 0:00,,https://croydon.simplyconnect.uk/activities/bdb18880-64dc-11ed-a932-397306737295/weekend-interventional-meetings
Wednesday Drop-in for people with Dementia and their carers,Christ Church Gipsy Hill,christchurch@gipsyhill.org.uk,020 8761 5927,kim@ageuklambeth.org,Wellbeing,,,0,67,,,SE19 1DP,SE19 1DP,1,11/29/2022 0:00,,https://croydon.simplyconnect.uk/activities/849bebd0-6ff4-11ed-a6be-73cb512d80d4/wednesday-drop-in-for-people-with-dementia-and-their-carers
Wednesday Creative Dance Sessions,South London Inclusive Dance Experience,info@slidedance.org,7754639009,info@slidedance.org,Wellbeing,"16-21, 21-65, 50+",,0,86,,,CR2 7DP,CR2 7DP,1,9/14/2022 0:00,7/26/2023 0:00,https://croydon.simplyconnect.uk/activities/41f0eb60-38f4-11ed-8e31-37f84c248024/wednesday-creative-dance-sessions
Wednesday 10am Holy Communion Service,St Matthew's Church Croydon,churchadmin@stmatthew.org.uk,,churchadmin@stmatthew.org.uk,Faith Groups,,,0,126,,,CR0 5NQ,CR0 5NQ,1,3/22/2022 0:00,,https://croydon.simplyconnect.uk/activities/d2b03260-ab65-11ec-b36b-25ef09e8f1fd/wednesday-10am-holy-communion-service
WE STAP PROJECT,We-Stap,info@we-stap.com,7376258936,info@we-stap.com,"Other - Advice, Support & Self Help","16-21, 21-65, 50+",,0,336,,,SW16 4LF,SW16 4LF,1,,,https://croydon.simplyconnect.uk/activities/f49f8da0-442f-11ea-b6aa-f3fad7aeb31f/we-stap-project
Wayside Nursery,Playplace Innov8 CIC,info@playplace.org,07747 827842,info@playplace.org,Education ,0-5,,0,241,,,CR0 9DX,CR0 9EP,1,,,https://croydon.simplyconnect.uk/activities/f416f880-442f-11ea-b60d-3f1702ed2fb4/wayside-nursery
"WARM-SPACE: Weds, Thurs, Friday & Sunday - Upper Norwood",Salvation Army Christian Community Church Upper Norwood & Crystal Palace,Philip.Layton@salvationarmy.org.uk,,Philip.Layton@salvationarmy.org.uk,Community Centres,,,0,85,,,SE19 3AF,SE19 3AF,1,12/02/2022 00:00,04/05/2023 00:00,https://croydon.simplyconnect.uk/activities/ab161360-725d-11ed-be20-bf5d474f7837/warm-space-weds-thurs-friday-sunday-upper-norwood
WARM-SPACE: Wednesday & Friday - Shirley Library,Croydon Libraries,croydoncentrallibrary@croydon.gov.uk,020 7884 5170,shirleylibrary@croydon.gov.uk,Community Centres,,,0,83,,,CR0 8BH,CR9 1ET,1,12/19/2022 0:00,,https://croydon.simplyconnect.uk/activities/dd65f590-7fd0-11ed-a332-5955efe4c788/warm-space-wednesday-friday-shirley-library
WARM-SPACE: Wednesday - West Croydon,MHA Communities South London,katharine.stubbs@mha.org.uk,7597135220,southlondon@mha.org.uk,Community Centres,,,0,178,,,CR0 2RF,CR9 5AL,1,11/10/2022 00:00,,https://croydon.simplyconnect.uk/activities/073e1a80-60e4-11ed-a873-d7927c7c00b0/warm-space-wednesday-west-croydon
WARM-SPACE: Wednesday - South Norwood,Torchlight Ministries,info@torchministries.com,2037474702,info@torchministries.com,Neighbourhood & Communities,,,0,55,,,SE25 6XX,CR0 1RE,1,1/19/2023 0:00,,https://croydon.simplyconnect.uk/activities/8cdd97e0-97f2-11ed-bdf1-0fc3cc1bc8f5/warm-space-wednesday-south-norwood
WARM-SPACE: Wednesday - Kenley,"All Saints Church, Kenley",,020 8660 3251,office@saintb.org.uk,Community Centres,,,0,34,,,CR8 5DW,CR8 5DJ,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/da35b080-7b9b-11ed-95c2-f95005b00ce8/warm-space-wednesday-kenley
WARM-SPACE: Wednesday - Broad Green West Croydon,Christ Church Drop In,cccroydon.parishchurch@outlook.com,020 8649 7620,normawap@aol.com,Other - Social Groups & Activities,50+,,0,71,,,CR0 3LJ,CR0 3LJ,1,11/30/2022 0:00,,https://croydon.simplyconnect.uk/activities/05143010-70a0-11ed-a267-77211b117145/warm-space-wednesday-broad-green-west-croydon
WARM-SPACE: Tuesday to Saturday - South Norwood,South Norwood Community Kitchen,,,,Community Centres,,,0,58,,,SE25 4UF,SE25 4PQ,1,12/15/2022 0:00,,https://croydon.simplyconnect.uk/activities/3e0c62e0-7c64-11ed-955d-f1619197e9a6/warm-space-tuesday-to-saturday-south-norwood
WARM-SPACE: Tuesday and Thursday Thornton Heath,His Grace Evangelical Outreach,info@hisgrace-evangelicaloutreach.co.uk,07946 546507,info@hisgrace-evangelicaloutreach.co.uk,Community Centres,50+,,0,151,,,CR7 8JF,CR7 8JF,1,09/07/2022 00:00,,https://croydon.simplyconnect.uk/activities/f271be10-2eb9-11ed-a474-4f879c8d28b5/warm-space-tuesday-and-thursday-thornton-heath
WARM-SPACE: Tuesday and Saturday - Purley,Purley United Reformed Church,minister@purleyurc.org.uk,,caretaking@purleyurc.org.uk,Community Centres,,,0,14,,,CR8 2LN,CR8 2LN,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/1d6002f0-7bb5-11ed-b9d7-838aa6119332/warm-space-tuesday-and-saturday-purley
WARM-SPACE: Tuesday & Wednesday -  New Addington,New Addington Baptist Church,info@newaddingtonbaptistchurch.co.uk,,,Community Centres,,,0,42,,,CR0 0EE,CR0 0EE,1,12/14/2022 0:00,,https://croydon.simplyconnect.uk/activities/d3106f40-7bac-11ed-b17b-bfc50440c3ca/warm-space-tuesday-wednesday-new-addington
WARM-SPACE: Tuesday & Thursday – Lower Addiscombe,Ashburton Hall and Park,ashburtonhall@gll.org,,ashburtonhall@gll.org,Community Centres,,,0,55,,,CR0 6NN,CR0 6NN,1,12/05/2022 00:00,04/03/2023 00:00,https://croydon.simplyconnect.uk/activities/e213e230-7498-11ed-9dbc-43beffed5bee/warm-space-tuesday-thursday-lower-addiscombe
